OrderDate,ProductID,CustomerID,ShipmentID,OrderReference,Quantity,Discount,Sales,Profit,DiscountAmount,SalesWoDiscount,CustomerName,Segment,ProductName,Category,SubCategory,ShipDate,ShipMode,PostalCode,City,Country,Region,State
2014-09-07 00:00:00,TEC-PH-10000000,DK-13375,0,CA-2014-100006,3,0.0,377.97,109.6113,0.0,377.97,Dennis Kane,Consumer,AT&T EL51110 DECT,Technology,Phones,2014-09-13 00:00:00,Standard Class,10024,New York City,United States,East,New York
2014-10-19 00:00:00,TEC-PH-10000001,EH-14125,10,CA-2014-100867,6,0.2,321.552,20.097,80.388,401.94,Eugene Hildebrand,Home Office,RCA Visys Integrated PBX 8-Line Router,Technology,Phones,2014-10-24 00:00:00,Standard Class,90712,Lakewood,United States,West,California
2014-11-21 00:00:00,TEC-PH-10000001,JK-15325,4328,US-2014-168501,5,0.2,267.96,16.7475,66.99,334.95,Jason Klamczynski,Corporate,RCA Visys Integrated PBX 8-Line Router,Technology,Phones,2014-11-27 00:00:00,Standard Class,75220,Dallas,United States,Central,Texas
2015-06-16 00:00:00,TEC-PH-10000001,LC-16885,4459,US-2015-163825,2,0.0,133.98,33.495,0.0,133.98,Lena Creighton,Consumer,RCA Visys Integrated PBX 8-Line Router,Technology,Phones,2015-06-19 00:00:00,First Class,10009,New York City,United States,East,New York
2017-01-20 00:00:00,TEC-PH-10000001,TH-21100,4011,CA-2017-161809,3,0.2,160.776,10.0485,40.194,200.97,Thea Hendricks,Consumer,RCA Visys Integrated PBX 8-Line Router,Technology,Phones,2017-01-26 00:00:00,Standard Class,90045,Los Angeles,United States,West,California
2014-04-07 00:00:00,TEC-PH-10000001,VM-21685,754,CA-2014-165806,3,0.0,200.97,50.2425,0.0,200.97,Valerie Mitchum,Home Office,RCA Visys Integrated PBX 8-Line Router,Technology,Phones,2014-04-07 00:00:00,Same Day,30062,Marietta,United States,South,Georgia
2016-12-11 00:00:00,TEC-PH-10000002,AR-10825,2633,CA-2016-160745,3,0.2,302.376,22.6782,75.594,377.97,Anthony Rawles,Corporate,AT&T TR1909W,Technology,Phones,2016-12-16 00:00:00,Second Class,98661,Vancouver,United States,West,Washington
2014-03-28 00:00:00,TEC-PH-10000002,DR-12940,11,CA-2014-100881,3,0.2,302.376,22.6782,75.594,377.97,Daniel Raglin,Home Office,AT&T TR1909W,Technology,Phones,2014-04-01 00:00:00,Standard Class,87105,Albuquerque,United States,West,New Mexico
2014-11-19 00:00:00,TEC-PH-10000002,RM-19675,679,CA-2014-158274,4,0.0,503.96,131.0296,0.0,503.96,Robert Marley,Home Office,AT&T TR1909W,Technology,Phones,2014-11-24 00:00:00,Second Class,71203,Monroe,United States,South,Louisiana
2014-04-07 00:00:00,TEC-PH-10000002,RS-19765,357,CA-2014-128846,5,0.0,629.95,163.787,0.0,629.95,Roland Schwarz,Corporate,AT&T TR1909W,Technology,Phones,2014-04-12 00:00:00,Standard Class,29203,Columbia,United States,South,South Carolina
